mmsi,v_name,v_class,v_callsign,v_imo,v_flag,v_system,v_mmsi,v_source
241033000,PANSTELLAR,Bulk Carrier,SVBB4,9272943, Greece,,241033000,VesselFinder
241058000,ANANGEL GRACE,Bulk Carrier,SVBD4,9440320, Greece,,241058000,VesselFinder
241066000,NOSTOS S,Bulk Carrier,SVBD6,9325051, Greece,,241066000,VesselFinder
241069000,GEORGIOS P,Bulk Carrier,SVBE2,9476680, Greece,,241069000,VesselFinder
241071000,MAVERICK GUNNER,Bulk Carrier,SVBD3,9461063, Greece,,241071000,VesselFinder
241073000,HEROIC,Bulk Carrier,SVBE3,9510199, Greece,,241073000,VesselFinder
241076000,ANASSA IOANNA,Bulk Carrier,SVBE5,9254551, Greece,,241076000,VesselFinder
241077000,ANANGEL DAWN,Bulk Carrier,SVBE7,9455533, Greece,,241077000,VesselFinder
241084000,AEOLIAN HERITAGE,Bulk Carrier,SVBF4,9483542, Greece,,241084000,VesselFinder
241093000,ANANGEL SKY,Bulk Carrier,SVBG2,9455545, Greece,,241093000,VesselFinder
241106000,ANANGEL MARINER,Bulk Carrier,SVBH4,9439072, Greece,,241106000,VesselFinder
241134000,ARETHUSA,Bulk Carrier,SVBJ3,9318591, Greece,,241134000,VesselFinder
241139000,DESERT GLORY,Bulk Carrier,SVBJ7,9543691, Greece,,241139000,VesselFinder
241142000,COMMON CALYPSO,Bulk Carrier,SVBJ5,9594705, Greece,,241142000,VesselFinder
241149000,ANANGEL GLORY,Bulk Carrier,SVBK7,9434383, Greece,,241149000,VesselFinder
241150000,JOHN M CARRAS,Bulk Carrier,SVBK5,9592707, Greece,,241150000,VesselFinder
241156000,ATHINA CARRAS,Bulk Carrier,SVBL7,9592719, Greece,,241156000,VesselFinder
241158000,MAVERICK GUARDIAN,Bulk Carrier,SVBL8,9592537, Greece,,241158000,VesselFinder
241160000,ANANGEL ASTRONOMER,Bulk Carrier,SVBL6,9581239, Greece,,241160000,VesselFinder
241210000,HERODOTUS,Bulk Carrier,SVBP2,9605700, Greece,,241210000,VesselFinder
241217000,ATHINA,Bulk Carrier,SVBP6,9343326, Greece,,241217000,VesselFinder
244947000,UBC ODESSA,Bulk Carrier,PCMZ,9463671, Netherlands,,244947000,VesselFinder
245295000,UBC OTTAWA,Bulk Carrier,PCLP,9463633, Netherlands,,245295000,VesselFinder
246325000,UBC ONSAN,Bulk Carrier,PBRP,9463645, Netherlands,,246325000,VesselFinder
247015700,11,Bulk Carrier,9HA3679,9183221, Malta,,229869000,VesselFinder
247035400,ORSOLINA BOTTIGLIERI,Bulk Carrier,IBTL,9219434, Italy,,247035400,VesselFinder
247099200,FOUR SPRINGS,Bulk Carrier,IBMA,8900402, Italy,,247099200,VesselFinder
247148200,MEDI TOKYO,Bulk Carrier,IBEC,9189768, Italy,,247148200,VesselFinder
247157100,PRIMROSE,Bulk Carrier,IBXN,9248899, Italy,,247157100,VesselFinder
247191200,PAN UNO,Bulk Carrier,ICED,9226982, Italy,,247191200,VesselFinder
247218400,RIBBON,Bulk Carrier,ICHB,9163295, Italy,,247218400,VesselFinder
247222400,F.D.GENNARO AURILIA,Bulk Carrier,ICGZ,9269233, Italy,,247222400,VesselFinder
247244900,CINZIA D'AMATO,Bulk Carrier,ICKB,9465734, Italy,,247244900,VesselFinder
247255800,FEDERICA PRIMA,Bulk Carrier,IBBA,9342803, Italy,,247255800,VesselFinder
247270700,MEDI HONG KONG,Bulk Carrier, IBMX,9301043, Italy,,247270700,VesselFinder
247274500,CAN YUCEL,Bulk Carrier,TCA3150,9107899, Turkey,,271043840,VesselFinder
247283400,ROBERTO RIZZO,Bulk Carrier,ICAH,9511454, Italy,,247283400,VesselFinder
247284900,BOTTIGLIERI AMBITION,Bulk Carrier,IBZG,9426051, Italy,,247284900,VesselFinder
247285100,BOTTIGLIERI CHALLENG,Bulk Carrier,IBYR,9426063, Italy,,247285100,VesselFinder
247287100,MBA GIOVANNI,Bulk Carrier,ICMD,9568598, Italy,,247287100,VesselFinder
247289600,MISS SIMONA,Bulk Carrier,IBRX,9481946, Italy,,247289600,VesselFinder
247294100,MARIA LAURA PREM,Bulk Carrier,ICTR,9450894, Italy,,247294100,VesselFinder
247296200,APUANA  D,Bulk Carrier,ICQS,9167863, Italy,,247296200,VesselFinder
247298500,BOTTIGLIERI FLAVIO B,Bulk Carrier,ICRZ,9426099, Italy,,247298500,VesselFinder
247299100,LDN FORTUNA,Bulk Carrier,ICRU,9476472, Italy,,247299100,VesselFinder
247302400,PANNONIA G,Bulk Carrier,ICNY,9567946, Italy,,247302400,VesselFinder
247303100,M/V.MBA ROSARIA,Bulk Carrier,ICQA,9591765, Italy,,247303100,VesselFinder
247303500,BOTTIGLIERI SOPHIE,Bulk Carrier,ICQR,9471630, Italy,,247303500,VesselFinder
247303900,BOTTIGLIERI GIULIO,Bulk Carrier,ICQU,9471642, Italy,,247303900,VesselFinder
247312200,MARLENE D'AMATO,Bulk Carrier,ICRV,9457854, Italy,,247312200,VesselFinder
247312300,PAOLA,Bulk Carrier,9HA2847,9497579, Malta,,256345000,VesselFinder
247312400,LUSITANIA G,Bulk Carrier,ICSS,9500091, Italy,,247312400,VesselFinder
247313300,CYRENAICA G,Bulk Carrier,ICSY,9500106, Italy,,247313300,VesselFinder
247462000,GIOVANNI BATTISTA B.,Bulk Carrier,IBHJ,9175315, Italy,,247462000,VesselFinder
248001000,BOGDAN,Bulk Carrier,9HMQ5,9132492, Malta,,248001000,VesselFinder
248005000,ROBUSTO,Bulk Carrier,9HA2121,9386512, Malta,,248005000,VesselFinder
248072000,VOYAGER,Bulk Carrier,9HQN5,8421341, Malta,,248072000,VesselFinder
248073000,PANAMAX ANNA,Bulk Carrier,9HQT5,8202678, Malta,,248073000,VesselFinder
248092000,DANSHIP BULKER,Bulk Carrier,9HA2171,9515682, Malta,,248092000,VesselFinder
248122000,GLYFADA I,Bulk Carrier,9HA2185,9473145, Malta,,248122000,VesselFinder
248131000,WILSON ROUGH,Bulk Carrier,9HSL5,7419200, Malta,,248131000,VesselFinder
248134000,MARIPERLA,Bulk Carrier,9HA2198,9447017, Malta,,248134000,VesselFinder
