mmsi,v_name,v_class,v_callsign,v_imo,v_flag,v_system,v_mmsi,v_source
273319570,R P,6 3,UCNS,,Russia,AIS Marine Traffic,273319570,MarrineTraffic
310599000,FLOATEL RELIANCE,Accommodation platform,ZCDZ7,8770247,Bermuda,AIS Marine Traffic,310599000,MarrineTraffic
565084000,SAFE LANCIA,Accommodation platform,9VKB9,8218328,Singapore,AIS Marine Traffic,565084000,MarrineTraffic
565293000,SAFE ASTORIA,Accommodation platform,9VMG8,8755091,Singapore,AIS Marine Traffic,565293000,MarrineTraffic
565295000,SAFE CONCORDIA,Accommodation platform,9VMH2,8768127,Singapore,AIS Marine Traffic,565295000,MarrineTraffic
636008364,PETROBRAS XX,Accommodation platform,ELIN5,8758029,Liberia,AIS Marine Traffic,636008364,MarrineTraffic
219041000,DAN SWIFT,Accommodation ship,OVZN2,8302894,Denmark,AIS Marine Traffic,219041000,MarrineTraffic
375406000,ELISA,Accommodation ship,J8B3428,9381689,St Vincent Grenadines,AIS Marine Traffic,375406000,MarrineTraffic
376518000,LANCELOT,Accommodation ship,J8B4683,8771497,St Vincent Grenadines,AIS Marine Traffic,376518000,MarrineTraffic
236389000,JASCON 28,Accommodation vessel,ZDHX5,8769638,Gibraltar,AIS Marine Traffic,236389000,MarrineTraffic
353070000,SAIBOS 230,Accommodation vessel,HP8403,8758471,Panama,AIS Marine Traffic,353070000,MarrineTraffic
375343000,SAINT PATRICK,Accommodation vessel,J8XW7,8768919,St Vincent Grenadines,AIS Marine Traffic,375343000,MarrineTraffic
376254000,VENTURE,Accommodation vessel,J8KA4,8638774,St Vincent Grenadines,AIS Marine Traffic,376254000,MarrineTraffic
273357230,SINEKURA 1,Aggregates carrier,UBKH3,9066875,Russia,AIS Marine Traffic,273357230,MarrineTraffic
357588000,CAI JUN 2,Aggregates carrier,HOWF,8665870,Panama,AIS Marine Traffic,357588000,MarrineTraffic
376700000,CRUZ DEL SUR,Aggregates carrier,ZPRQ,7911595,St Vincent Grenadines,AIS Marine Traffic,376700000,MarrineTraffic
205340000,UNION MANTA,Anchor handling vessel,ORKJ,9261487,Belgium,AIS Marine Traffic,205340000,MarrineTraffic
205558000,UNION WARRIOR,Anchor handling vessel,ORPI,9537513,Belgium,AIS Marine Traffic,205558000,MarrineTraffic
205566000,UNION FIGHTER,Anchor handling vessel,ORPP,9537525,Belgium,AIS Marine Traffic,205566000,MarrineTraffic
205586000,UNION WRESTLER,Anchor handling vessel,ORPZ,9537549,Belgium,AIS Marine Traffic,205586000,MarrineTraffic
209013000,SEA FOX,Anchor handling vessel,5BCP3,9419993,Cyprus,AIS Marine Traffic,209013000,MarrineTraffic
209028000,BOURBON LIBERTY 234,Anchor handling vessel,5BCQ3,9579602,Cyprus,AIS Marine Traffic,209028000,MarrineTraffic
209121000,SEA PANTHER,Anchor handling vessel,5BDR3,9171747,Cyprus,AIS Marine Traffic,209121000,MarrineTraffic
209226000,LAMNALCO CHOUGH,Anchor handling vessel,C4WX2,9435911,Cyprus,AIS Marine Traffic,209226000,MarrineTraffic
209268000,SEA JACKAL,Anchor handling vessel,5BET3,9420007,Cyprus,AIS Marine Traffic,209268000,MarrineTraffic
209409000,SEA STOAT,Anchor handling vessel,5BMH3,9420033,Cyprus,AIS Marine Traffic,209409000,MarrineTraffic
209774000,POSH VIBRANT,Anchor handling vessel,5BSA2,9494319,Cyprus,AIS Marine Traffic,209774000,MarrineTraffic
209910000,LAMNALCO MERLIN,Anchor handling vessel,C4PV2,9383168,Cyprus,AIS Marine Traffic,209910000,MarrineTraffic
209981000,SEA VIXEN,Anchor handling vessel,5BKK3,9420021,Cyprus,AIS Marine Traffic,209981000,MarrineTraffic
210132000,LAMNALCO COLIBRI,Anchor handling vessel,C4AV2,9319911,Cyprus,AIS Marine Traffic,210132000,MarrineTraffic
210139000,SUDAKSHA,Anchor handling vessel,5BQV3,9208332,Cyprus,AIS Marine Traffic,210139000,MarrineTraffic
210289000,SL CONDOR,Anchor handling vessel,P3NL9,9291846,Cyprus,AIS Marine Traffic,210289000,MarrineTraffic
210291000,SL CORMORANT,Anchor handling vessel,P3NM9,9291858,Cyprus,AIS Marine Traffic,210291000,MarrineTraffic
210465000,SEA CHEETAH,Anchor handling vessel,C4SE2,9369629,Cyprus,AIS Marine Traffic,210465000,MarrineTraffic
210870000,LAMNALCO MACAW,Anchor handling vessel,C4VR2,9383170,Cyprus,AIS Marine Traffic,210870000,MarrineTraffic
212092000,LAMNALCO MALKOHA,Anchor handling vessel,5BLF2,9383209,Cyprus,AIS Marine Traffic,212092000,MarrineTraffic
212116000,LAMNALCO MERGANSER,Anchor handling vessel,5BAQ3,9564114,Cyprus,AIS Marine Traffic,212116000,MarrineTraffic
212517000,SEA JAGUAR,Anchor handling vessel,C4UA2,9369631,Cyprus,AIS Marine Traffic,212517000,MarrineTraffic
212570000,SEA LEOPARD,Anchor handling vessel,5BBT2,9166364,Cyprus,AIS Marine Traffic,212570000,MarrineTraffic
212839000,AMAZON CHIEFTAIN,Anchor handling vessel,5BQH2,8200333,Cyprus,AIS Marine Traffic,212839000,MarrineTraffic
219266000,MAERSK PROVIDER,Anchor handling vessel,OWEW5,9007142,Denmark,AIS Marine Traffic,219266000,MarrineTraffic
219268000,MAERSK PACER,Anchor handling vessel,OWFJ5,9007154,Denmark,AIS Marine Traffic,219268000,MarrineTraffic
219276000,MAERSK BATTLER,Anchor handling vessel,OYEP2,9144330,Denmark,AIS Marine Traffic,219276000,MarrineTraffic
219296000,MAERSK BOULDER,Anchor handling vessel,OZNB2,9151577,Denmark,AIS Marine Traffic,219296000,MarrineTraffic
219319000,MAERSK PUNCHER,Anchor handling vessel,OXBZ5,9007166,Denmark,AIS Marine Traffic,219319000,MarrineTraffic
219320000,MAERSK PROMOTER,Anchor handling vessel,OXBG5,9007178,Denmark,AIS Marine Traffic,219320000,MarrineTraffic
219335000,BLUE ANTARES,Anchor handling vessel,OXJJ6,8401949,Denmark,AIS Marine Traffic,219335000,MarrineTraffic
219345000,MAERSK CHAMPION,Anchor handling vessel,OXJZ6,8401951,Denmark,AIS Marine Traffic,219345000,MarrineTraffic
219392000,NJORD VIKING,Anchor handling vessel,OUVT2,9423827,Denmark,AIS Marine Traffic,219392000,MarrineTraffic
219396000,BRAGE VIKING,Anchor handling vessel,OUVV2,9475791,Denmark,AIS Marine Traffic,219396000,MarrineTraffic
219408000,MAERSK BLAZER,Anchor handling vessel,OZPB2,9151589,Denmark,AIS Marine Traffic,219408000,MarrineTraffic
219665000,MAERSK ATTENDER,Anchor handling vessel,OVZI2,9193795,Denmark,AIS Marine Traffic,219665000,MarrineTraffic
219819000,MAERSK SEEKER,Anchor handling vessel,OYQP2,9180695,Denmark,AIS Marine Traffic,219819000,MarrineTraffic
220172000,MAERSK ACHIEVER,Anchor handling vessel,OXGX2,9245902,Denmark,AIS Marine Traffic,220172000,MarrineTraffic
220197000,MAERSK WINNER,Anchor handling vessel,OXBO2,9245914,Denmark,AIS Marine Traffic,220197000,MarrineTraffic
220577000,MAERSK LEADER,Anchor handling vessel,OUHD2,9425710,Denmark,AIS Marine Traffic,220577000,MarrineTraffic
220578000,MAERSK LOGGER,Anchor handling vessel,OUHG2,9425722,Denmark,AIS Marine Traffic,220578000,MarrineTraffic
220579000,MAERSK LIFTER,Anchor handling vessel,OUHQ2,9425734,Denmark,AIS Marine Traffic,220579000,MarrineTraffic
220581000,MAERSK LANCER,Anchor handling vessel,OUHX2,9425849,Denmark,AIS Marine Traffic,220581000,MarrineTraffic
220583000,MAERSK TOPPER,Anchor handling vessel,OXRJ2,9388584,Denmark,AIS Marine Traffic,220583000,MarrineTraffic
