series,mmsi,source,sourceid,datetime,callsign,class,flag,imo,name
20000,371,MarineTraffic.com,371,2014-07-24,3FCZ6,Tug,,,GEO CASPIAN
19995,2331,MarineTraffic.com,2331,2014-07-24,E.T,Wing In Grnd,,,MBIGUA
19994,2332,MarineTraffic.com,2332,2014-07-24,TRAMITE,Tug,,,R/E GUYRATI
19993,2409,MarineTraffic.com,2409,2014-07-24,ZPJL,Tug,,,JANET
19992,2410,MarineTraffic.com,2410,2014-07-24,ZPJO,Port Tender,,,JULIE
19991,2411,MarineTraffic.com,2411,2014-07-24,ZPJM,Tug,,,PENELOPE
19990,2472,MarineTraffic.com,2472,2014-07-24,ZPSC,Tug,,,AGUARA
19989,2500,MarineTraffic.com,2500,2014-07-24,E-T,Tug,,,TAGUATO
19987,3203,MarineTraffic.com,3203,2014-07-24,ZPQC,Wing In Grnd,,,ARATIRI
19986,3243,MarineTraffic.com,3243,2014-07-24,XXXX,Wing In Grnd,,,YAGUARETE
19985,3493,MarineTraffic.com,3493,2014-07-24,ZPRF,Tug,,,R\E HUMAITA
19984,3495,MarineTraffic.com,3495,2014-07-24,ZPRH,Tug,,,MARIA AUXILIADORA
19982,5853,MarineTraffic.com,5853,2014-07-24,HO-7058,Other,,,TISA SUPPLIER
19981,6177,MarineTraffic.com,6177,2014-07-24,LW4006,Tug,,,CRIOLLO
19979,613914,MarineTraffic.com,613914,2014-07-24,HO2624,Anti-Pollution,,,OPC ENFORCER
19978,5300142,MarineTraffic.com,5300142,2014-07-24,CPY328,Cargo,,,IB ROSARIO
19977,6010060,MarineTraffic.com,6010060,2014-07-24,,Reserved,South Africa,,IMTECH MARINE / PE
19976,6459022,MarineTraffic.com,6459022,2014-07-24,,Reserved,Mauritius,,PORT LOUIS NCG POST
19975,6459023,MarineTraffic.com,6459023,2014-07-24,,Unspecified,Mauritius,,BEL OMBRE NCG POST
19974,6459025,MarineTraffic.com,6459025,2014-07-24,ST,Law Enforce,Mauritius,,COAST GUARD MRU (W
19972,6645040,MarineTraffic.com,6645040,2014-07-24,STWZ,Reserved,Seychelles,,JRCC MAHE
19971,6660001,MarineTraffic.com,6660001,2014-07-24,,Unspecified,Somalia,,MOGADISHO PORT CONTL
19970,7037143,MarineTraffic.com,7037143,2014-07-24,VJ2034,Tug,,7037143,APHROS
19969,7250381,MarineTraffic.com,7250381,2014-07-24,CBM25,Unspecified,Chile,,CAPUERTO PTA.ARENAS
19968,7250400,MarineTraffic.com,7250400,2014-07-24,CBM 71,Unspecified,Chile,,FARO DUNGENESS
19967,7250431,MarineTraffic.com,7250431,2014-07-24,O,Unspecified,Chile,,ALCAMAR YAMANA
19966,7620705,MarineTraffic.com,7620705,2014-07-24,HJVO,Sailing Vessel,,,LAURA GABRIELA
19965,28489502,MarineTraffic.com,28489502,2014-07-24,,Unspecified,,,NOMA
