series,mmsi,source,sourceid,datetime,callsign,class,flag,imo,name
19964,65317000,MarineTraffic.com,65317000,2014-07-24,,Unspecified,,,DN 95
19963,70102880,MarineTraffic.com,70102880,2014-07-24,LA8PV,Unspecified,,,MOLTEC
19962,71000010,MarineTraffic.com,71000010,2014-07-24,PS 7184,Pilot Vessel,,,PIL0TB0AT BARRA SECA
19961,209398000,MarineTraffic.com,209398000,2014-07-24,C4QT2,Tug,Cyprus,9375185,LAMNALCO TOUCAN
19960,224107290,MarineTraffic.com,224107290,2014-07-24,EAHX,Other,Spain,,SALIMAR CUATRO
19959,224550000,MarineTraffic.com,224550000,2014-07-24,EARA,Tug,Spain,9158020,VB ALBORAN
19958,224718000,MarineTraffic.com,224718000,2014-07-24,XCVW,Tug,Spain,9181443,V.B.CORAL
19957,226275000,MarineTraffic.com,226275000,2014-07-24,FMFX,Utility vessel,France,9369277,ARAMIS
19956,235078566,MarineTraffic.com,235078566,2014-07-24,2DFE7,Sailing Vessel,United Kingdom,,DRUMBEG
19954,235091158,MarineTraffic.com,235091158,2014-07-24,2FGW7,High Speed Craft,United Kingdom,,MALLTRAETH BAY
19953,237000045,MarineTraffic.com,237000045,2014-07-24,,Tug,Greece,,CABALIER III
19952,242944000,MarineTraffic.com,242944000,2014-07-24,CNA4343,Tug,Morocco,,LAAYOUNE
19951,244690785,MarineTraffic.com,244690785,2014-07-24,PA2763,Pleasure Craft,Netherlands,,COMMERAAL
19950,244811000,MarineTraffic.com,244811000,2014-07-24,PHLJ,Tug,Netherlands,9450258,COASTAL VICTORY
19949,244876000,MarineTraffic.com,244876000,2014-07-24,PDPF,Grab dredger,Netherlands,8619986,DELTA QUEEN
19948,244963000,MarineTraffic.com,244963000,2014-07-24,PFSD,Dredger,Netherlands,,RAZENDE BOL
19947,245109000,MarineTraffic.com,245109000,2014-07-24,,Other,Netherlands,,MALMO
19946,245688000,MarineTraffic.com,245688000,2014-07-24,PBBO,Dredger,Netherlands,,SIMSON
19945,247323600,MarineTraffic.com,247323600,2014-07-24,IJES2,Sailing vessel,Italy,9606247,OHANA
19944,248045000,MarineTraffic.com,248045000,2014-07-24,9HA2143,Ro-ro/passenger ship,Malta,9465239,PASSIO PER FORMENTERA
19942,251006110,MarineTraffic.com,251006110,2014-07-24,TFHM,Passenger,Iceland,,SAEVAR
19941,251052110,MarineTraffic.com,251052110,2014-07-24,TFTY,Passenger,Iceland,,DRAUMUR EA
19940,251064110,MarineTraffic.com,251064110,2014-07-24,TFIW,Fishing,Iceland,,HAFORN
19939,251286110,MarineTraffic.com,251286110,2014-07-24,TFSN,Fishing,Iceland,,GUNNVOR IS53
19938,251322110,MarineTraffic.com,251322110,2014-07-24,TFAG,Fishing vessel,Iceland,7224485,STEINUNN
19937,251356110,MarineTraffic.com,251356110,2014-07-24,TFGW,Passenger,Iceland,,BRIMRUN
19936,251358110,MarineTraffic.com,251358110,2014-07-24,TFBB,Passenger,Iceland,,GARDAR
19935,251437110,MarineTraffic.com,251437110,2014-07-24,TFVW,Pusher tug,Iceland,9126388,LEYNIR
19934,251658242,MarineTraffic.com,251658242,2014-07-24,TFZN,Unspecified,Iceland,,KNORRINN
19933,251753110,MarineTraffic.com,251753110,2014-07-24,TF2642,Pilot Vessel,Iceland,,STURLA HALLDORSSON
19932,257066700,MarineTraffic.com,257066700,2014-07-24,LHFA,Ro-ro/passenger ship,Norway,7704679,OS
19931,257243500,MarineTraffic.com,257243500,2014-07-24,LEMT,Ro-ro/passenger ship,Norway,9030369,SIGRID
19930,257306400,MarineTraffic.com,257306400,2014-07-24,LDAO,Ro-ro/passenger ship,Norway,7529938,FROYAFERJA
19929,258585000,MarineTraffic.com,258585000,2014-07-24,LNXI,Ro-ro/passenger ship,Norway,9371543,ORLAND
19928,259126000,MarineTraffic.com,259126000,2014-07-24,LEAR,Unspecified,Norway,,SOLNES
19927,273278200,MarineTraffic.com,273278200,2014-07-24,UAGC,Fishing vessel,Russia,9202675,KASPRYBA 1
19926,273313400,MarineTraffic.com,273313400,2014-07-24,UHZE,General cargo,Russia,8892320,VESEGONSK
19925,273314400,MarineTraffic.com,273314400,2014-07-24,UFVM,General cargo,Russia,8892306,SEVERODONETSK
19924,273315400,MarineTraffic.com,273315400,2014-07-24,UDOK,General cargo,Russia,8892318,ELECTROSTAL
19923,273319300,MarineTraffic.com,273319300,2014-07-24,UBLJ,Suction dredger,Russia,7905766,IRBENSKIY
19922,273342310,MarineTraffic.com,273342310,2014-07-24,UMWM,General cargo,Russia,8863094,VOLGO DON 199
19921,273350950,MarineTraffic.com,273350950,2014-07-24,UABG-3,Unspecified,Russia,,KISLOVODSK
19920,273351950,MarineTraffic.com,273351950,2014-07-24,UBKC8,Unspecified,Russia,,NIKOLAI IGNATYUK
19919,273352160,MarineTraffic.com,273352160,2014-07-24,,Unspecified,Russia,,KAPITAN ZAHAROV
19918,273354160,MarineTraffic.com,273354160,2014-07-24,UAZG9,Unspecified,Russia,,KAPITAN SMIRNOV
19917,273354210,MarineTraffic.com,273354210,2014-07-24,UBUG3,Drilling rig,Russia,8770998,SEVERNOYE SIYANIYE
19916,273355950,MarineTraffic.com,273355950,2014-07-24,UADH-7,Unspecified,Russia,,KAPITAN YAKOVLEV
19915,273356160,MarineTraffic.com,273356160,2014-07-24,UABH5,Tug,Russia,,NIKOLAI EFREMOV
19914,273356950,MarineTraffic.com,273356950,2014-07-24,UASB-3,Cargo,Russia,,KARAGANDA
19913,273357950,MarineTraffic.com,273357950,2014-07-24,UARB5,Unspecified,Russia,,NT-68
19912,273358850,MarineTraffic.com,273358850,2014-07-24,,Tug,Russia,,K.OCHERETKO
19911,273358950,MarineTraffic.com,273358950,2014-07-24,,Unspecified,Russia,,MIHAIL MUNIN
19910,273359950,MarineTraffic.com,273359950,2014-07-24,UARI-2,Unspecified,Russia,,PETR SCHETINKIN
19909,273362610,MarineTraffic.com,273362610,2014-07-24,UAMF5,Unspecified,Russia,,ULYJANA.GROMOVA
19908,273365610,MarineTraffic.com,273365610,2014-07-24,UAMA5,Unspecified,Russia,,MEXANIK MASLUK
19906,273383500,MarineTraffic.com,273383500,2014-07-24,UEKM,Inland tanker,Russia,8988351,LENANEFT 2032
19905,273385400,MarineTraffic.com,273385400,2014-07-24,UFYV,Inland tanker,Russia,8988246,LENANEFT 2008
19904,273388500,MarineTraffic.com,273388500,2014-07-24,UEJH,Inland tanker,Russia,8988296,LENANEFT 2020
19903,273433580,MarineTraffic.com,273433580,2014-07-24,,General cargo,Russia,8937704,VOLGO DON 5019
19902,273437080,MarineTraffic.com,273437080,2014-07-24,UENY,Trawler,Russia,8826541,GALATIS
19901,273439920,MarineTraffic.com,273439920,2014-07-24,UCEA,General cargo,Russia,8880444,DMITROV
19900,273446150,MarineTraffic.com,273446150,2014-07-24,UIYI,Tanker,Russia,,ALEXANDR PECHENIK
19899,273540320,MarineTraffic.com,273540320,2014-07-24,POMORIE,Tug,Russia,,POMORIE
19898,273548120,MarineTraffic.com,273548120,2014-07-24,RB-34,Tug,Russia,,RB-34
19897,273549120,MarineTraffic.com,273549120,2014-07-24,,Tug,Russia,,RB47
19896,306767000,MarineTraffic.com,306767000,2014-07-24,PJRG,Tug,Curacao,9274599,OLA
19895,308939000,MarineTraffic.com,308939000,2014-07-24,C6FF8,Drill ship,Bahamas,7907180,PEREGRINE I
19894,309244000,MarineTraffic.com,309244000,2014-07-24,C6QR9,Tug,Bahamas,9179024,SMIT TABOGUILLA
19893,311022800,MarineTraffic.com,311022800,2014-07-24,C6XU9,Tug,Bahamas,9476381,SMIT GUADELOUPE
19892,316001067,MarineTraffic.com,316001067,2014-07-24,,Tug,Canada,9214290,NORTH ATLANTIC PETREL
19891,316001077,MarineTraffic.com,316001077,2014-07-24,CFD6824,Ro-ro/passenger ship,Canada,9050008,CONFEDERATION
19890,316001235,MarineTraffic.com,316001235,2014-07-24,CZ3072,Passenger,Canada,,KLITSA
19889,316001236,MarineTraffic.com,316001236,2014-07-24,CZ3845,Passenger,Canada,,KAHLOKE
19888,316001237,MarineTraffic.com,316001237,2014-07-24,CZ4746,Passenger,Canada,,KWUNA
19887,316001245,MarineTraffic.com,316001245,2014-07-24,CZ8100,Passenger,Canada,,QUEEN OF ALBERNI
19886,316001254,MarineTraffic.com,316001254,2014-07-24,VCNX,Ro-ro/passenger ship,Canada,- Ro-ro/passenger ship: current position and details |,QUEEN OF NANAIMO
19885,316001268,MarineTraffic.com,316001268,2014-07-24,VOSM,Ro-ro/passenger ship,Canada,9015668,SPIRIT OF BRITISH COLUMBIA
19884,316001329,MarineTraffic.com,316001329,2014-07-24,VA6691,Tug,Canada,7530030,DUGA
19883,316001434,MarineTraffic.com,316001434,2014-07-24,CG2350,Research/survey vessel,Canada,6804903,LIMNOS
19882,316001466,MarineTraffic.com,316001466,2014-07-24,VGCY,Ro-ro/passenger ship,Canada,7041431,HOLIDAY ISLAND
19881,316001717,MarineTraffic.com,316001717,2014-07-24,VDJL,Cement carrier,Canada,6514900,STEPHEN B.ROMAN
19880,316001805,MarineTraffic.com,316001805,2014-07-24,VYNG,Self discharging bulk carrier,Canada,6805531,ALGORAIL
19879,316001817,MarineTraffic.com,316001817,2014-07-24,VOSD,Tug,Canada,,AVANTAGE
19878,316001837,MarineTraffic.com,316001837,2014-07-24,CYLX,Cement carrier,Canada,5104382,ENGLISH RIVER
19877,316001890,MarineTraffic.com,316001890,2014-07-24,CG2960,Unspecified,Canada,,SAMUEL RISLEY
19876,316001978,MarineTraffic.com,316001978,2014-07-24,CGJF,Reserved,Canada,,CCGS CARIBOU ISLE
19875,316002065,MarineTraffic.com,316002065,2014-07-24,CFG3677,Pusher tug,Canada,6826119,PETITE FORTE
19874,316002238,MarineTraffic.com,316002238,2014-07-24,VOLP,Tug,Canada,5141483,ANGLIAN LADY
19873,316002873,MarineTraffic.com,316002873,2014-07-24,FGYJ,Tug,Canada,,OCEAN GOLF
19872,316003123,MarineTraffic.com,316003123,2014-07-24,CFI9556,Bucket ladder dredger,Canada,9039298,KAZAR VII
19871,316003124,MarineTraffic.com,316003124,2014-07-24,VC4084,Passenger,Canada,,PELEE ISLANDER
19870,316003306,MarineTraffic.com,316003306,2014-07-24,VC3829,Tug,Canada,,JERRY G
19869,316004054,MarineTraffic.com,316004054,2014-07-24,VLCT,Pilot Vessel,Canada,,ADANAC III
19868,316004910,MarineTraffic.com,316004910,2014-07-24,CFG6460,Cargo,Canada,,CUYAHOGA
19867,316004940,MarineTraffic.com,316004940,2014-07-24,CFG8050,Self discharging bulk carrier,Canada,5128467,MISSISSAGI
19866,316004950,MarineTraffic.com,316004950,2014-07-24,VF2560,Self discharging bulk carrier,Canada,5173876,SAGINAW
19865,316007857,MarineTraffic.com,316007857,2014-07-24,VC6946,Passengers ship,Canada,6721981,LUCIEN L.
19864,316007858,MarineTraffic.com,316007858,2014-07-24,VA 7814,Passenger,Canada,,GRUE DES ILES
19863,316007942,MarineTraffic.com,316007942,2014-07-24,CZ4857,Pilot Vessel,Canada,,R.D. RILEY
19862,316009547,MarineTraffic.com,316009547,2014-07-24,CFN4618,Ro-ro/passenger ship,Canada,9029267,KUPER
19861,316013215,MarineTraffic.com,316013215,2014-07-24,CFN5193,Oil/chemical tanker,Canada,9378591,ALGOCANADA
19860,316013639,MarineTraffic.com,316013639,2014-07-24,CFN5305,High Speed Craft,Canada,,MAMILOSSA
19859,316014339,MarineTraffic.com,316014339,2014-07-24,CG8081,SAR,Canada,,CCGS KELSO
19858,316016013,MarineTraffic.com,316016013,2014-07-24,CFK9301,Tug,Canada,9553892,OCEAN GEORGIE BAIN
19857,316019244,MarineTraffic.com,316019244,2014-07-24,VYJQ,Ro-ro/passenger ship,Canada,9578165,HAZEL MCISAAC
19855,316021119,MarineTraffic.com,316021119,2014-07-24,CFN5899,Bulk carrier,Canada,8506529,PHOENIX SUN
19854,338021074,MarineTraffic.com,338021074,2014-07-24,WAO9082,Research/survey vessel,USA,8030609,LAKE GUARDIAN
19853,338047382,MarineTraffic.com,338047382,2014-07-24,WVA4661,Tug,USA,,LIBERTY
19851,345070151,MarineTraffic.com,345070151,2014-07-24,XCGW8,Research/survey vessel,Mexico,8007119,DON JAIME
19850,345972253,MarineTraffic.com,345972253,2014-07-24,0,Pilot Vessel,Mexico,,CHONTAL
19849,351232000,MarineTraffic.com,351232000,2014-07-24,TUGGU,Unspecified,Panama,,GUIA
19848,351396000,MarineTraffic.com,351396000,2014-07-24,3FMP9,Oil products tanker,Panama,8410665,NORDIC BAY
19847,352098000,MarineTraffic.com,352098000,2014-07-24,3FYB2,Oil products tanker,Panama,8021282,ANA B
19846,353033000,MarineTraffic.com,353033000,2014-07-24,3FRS4,General cargo,Panama,9164859,VFM ANDRES
19845,353482000,MarineTraffic.com,353482000,2014-07-24,3EQU6,Oil products tanker,Panama,7808396,ATLANTIC TRADER
19844,354138000,MarineTraffic.com,354138000,2014-07-24,H3VL,Oil products tanker,Panama,7922324,VICKY B
19843,354272000,MarineTraffic.com,354272000,2014-07-24,TUGAM,Tug,Panama,,AMISTAD
19842,354304000,MarineTraffic.com,354304000,2014-07-24,TUGCE,Tug,Panama,,COCLE
19841,355041000,MarineTraffic.com,355041000,2014-07-24,TUGGG,Tug,Panama,,GUARDIA
19840,355055000,MarineTraffic.com,355055000,2014-07-24,TUGET,Tug,Panama,9551612,ESTI
19839,355764000,MarineTraffic.com,355764000,2014-07-24,HO-2374,Tug,Panama,7368126,V.B.CHAGRES
19838,355858000,MarineTraffic.com,355858000,2014-07-24,TUGME,Tug,Panama,,MEHAFFEY
19837,356102000,MarineTraffic.com,356102000,2014-07-24,3EMN7,Oil products tanker,Panama,6329020,GREAT BALBOA
19836,356639000,MarineTraffic.com,356639000,2014-07-24,HP4367,Tug,Panama,9366706,SMIT ARUBA
19835,357223000,MarineTraffic.com,357223000,2014-07-24,HP3936,Tug,Panama,9409974,SVITZER AMAZONAS
19834,357235000,MarineTraffic.com,357235000,2014-07-24,TUGHA,Tug,Panama,,HARDING
19833,357339000,MarineTraffic.com,357339000,2014-07-24,3EXA6,Oil products tanker,Panama,9381653,KERKYRA
19832,357622000,MarineTraffic.com,357622000,2014-07-24,HO3060,Landing craft,Panama,7728560,INAGUA ESPANA
19831,357733000,MarineTraffic.com,357733000,2014-07-24,TUGCQ,Tug,Panama,,CACIQUE
19830,362062000,MarineTraffic.com,362062000,2014-07-24,9YHQ,Ro-ro/passenger ship,Trinidad Tobago,9582142,CARNIVAL RUNNER
19829,362063000,MarineTraffic.com,362063000,2014-07-24,9YHR,Ro-ro/passenger ship,Trinidad Tobago,9582128,PARIA BULLET
19828,365940304,MarineTraffic.com,365940304,2014-07-24,WDF8573,Unspecified,,,CALLAHAN
19827,366053000,MarineTraffic.com,366053000,2014-07-24,WDB6455,Unspecified,USA,,EXPEDITIONS
19826,366508420,MarineTraffic.com,366508420,2014-07-24,WC8177,Tug,USA,7436806,TRIG LIND
19825,366778450,MarineTraffic.com,366778450,2014-07-24,WDF7183,Passengers ship,USA,9183207,GOLDEN GATE
19824,366787040,MarineTraffic.com,366787040,2014-07-24,WCZ9703,Self discharging bulk carrier,USA,5216458,MCKEE SONS
19823,366790980,MarineTraffic.com,366790980,2014-07-24,WDA2769,Self discharging bulk carrier,USA,5389554,STR WILFRED SYKES
19822,366800090,MarineTraffic.com,366800090,2014-07-24,WDA3596,Tug,USA,,ISLAND BREEZE
19821,366804736,MarineTraffic.com,366804736,2014-07-24,WDF8425,Pusher tug,USA,8991114,ISLAND STORM
19820,366811510,MarineTraffic.com,366811510,2014-07-24,WDA4630,Passenger,USA,,PETER R WEISS
19819,366824910,MarineTraffic.com,366824910,2014-07-24,WDA5852,Other,USA,,PILOT BOAT JUAN DE F
19818,366825190,MarineTraffic.com,366825190,2014-07-24,WCZ5670,Other,USA,,PUGET SOUND
19817,366834640,MarineTraffic.com,366834640,2014-07-24,WDA6645,Tug,USA,,FATCAT
19816,366838990,MarineTraffic.com,366838990,2014-07-24,WDA7043,Tug,USA,,ISLAND    CHIEF
19815,366863240,MarineTraffic.com,366863240,2014-07-24,WDA9262,Passenger,USA,,CHRISTOPHER COLUMBUS
19813,366887930,MarineTraffic.com,366887930,2014-07-24,WCY2823,Tug,USA,9139830,GUARD
19812,366888800,MarineTraffic.com,366888800,2014-07-24,WDE7327,Tug,USA,,TIOGA
19811,366888920,MarineTraffic.com,366888920,2014-07-24,WCO7674,Pollution control vessel,USA,9055802,VALDEZ STAR
19810,366893620,MarineTraffic.com,366893620,2014-07-24,WBM8728,Tug,USA,,CALEB
19809,366893910,MarineTraffic.com,366893910,2014-07-24,WAV4647,Self discharging bulk carrier,USA,5206362,ALPENA
19808,366898440,MarineTraffic.com,366898440,2014-07-24,WDB4443,Pilot Vessel,USA,,ARCTIC HAWK
19807,366901880,MarineTraffic.com,366901880,2014-07-24,WDB4745,Self discharging bulk carrier,USA,7514713,BURNS HARBOR
19806,366904880,MarineTraffic.com,366904880,2014-07-24,WYQ4356,Self discharging bulk carrier,USA,7390272,MESABI MINER
19805,366904910,MarineTraffic.com,366904910,2014-07-24,WCF3012,Self discharging bulk carrier,USA,5097450,KAYE E.BARKER
19804,366904930,MarineTraffic.com,366904930,2014-07-24,WL3972,Self discharging bulk carrier,USA,5148417,HERBERT C.JACKSON
19803,366904940,MarineTraffic.com,366904940,2014-07-24,WYR4481,Self discharging bulk carrier,USA,7729057,PAUL R.TREGURTHA
19802,366904950,MarineTraffic.com,366904950,2014-07-24,WUR8857,Self discharging bulk carrier,USA,5385625,LEE A.TREGURTHA
19801,366905890,MarineTraffic.com,366905890,2014-07-24,WYP8657,Self discharging bulk carrier,USA,7390260,JAMES R.BARKER
19800,366934280,MarineTraffic.com,366934280,2014-07-24,WTS3171,Tug,USA,,DANIEL FOSS
19799,366937150,MarineTraffic.com,366937150,2014-07-24,,Tug,USA,6520454,KAREN ANDRIE
19798,366938740,MarineTraffic.com,366938740,2014-07-24,WXS6134,Self discharging bulk carrier,USA,7620653,BUFFALO
19797,366938750,MarineTraffic.com,366938750,2014-07-24,WZA4027,Self discharging bulk carrier,USA,7403990,ST.CLAIR
19796,366938770,MarineTraffic.com,366938770,2014-07-24,WZD2465,Self discharging bulk carrier,USA,7366362,H.LEE WHITE
19795,366956530,MarineTraffic.com,366956530,2014-07-24,WF7069,Tug,USA,,OHIO
19794,366967670,MarineTraffic.com,366967670,2014-07-24,WDB9002,Tug,USA,,ROBIN B INGRAM
19793,366967680,MarineTraffic.com,366967680,2014-07-24,WDB9003,Tug,USA,,J B KLEINPETER
19792,366969740,MarineTraffic.com,366969740,2014-07-24,WCY5602,Tug,USA,,SOLANA
19791,366969980,MarineTraffic.com,366969980,2014-07-24,WZC8518,Passenger,USA,,MARIN
19790,366970020,MarineTraffic.com,366970020,2014-07-24,WDB9115,Passenger,USA,,MENDOCINO
19789,366970710,MarineTraffic.com,366970710,2014-07-24,WAG2738,Pilot Vessel,USA,,MARY DELE
19788,366971230,MarineTraffic.com,366971230,2014-07-24,WBM7130,Fishing,USA,,HALLO BAY
19787,366971340,MarineTraffic.com,366971340,2014-07-24,WE4879,Cargo,USA,,CASON J CALLAWAY
19786,366971350,MarineTraffic.com,366971350,2014-07-24,WE3592,Self discharging bulk carrier,USA,5277062,PHILIP R.CLARKE
19785,366971370,MarineTraffic.com,366971370,2014-07-24,WDG7082,Cargo,USA,,EDWIN H. GOTT
19784,366972030,MarineTraffic.com,366972030,2014-07-24,WDG7080,Self discharging bulk carrier,USA,7222138,ROGER BLOUGH
19783,366975740,MarineTraffic.com,366975740,2014-07-24,WCX8035,Passenger,USA,,HARBOR QUEEN
19782,366978440,MarineTraffic.com,366978440,2014-07-24,WAI9279,Tug,USA,,MISSOURI
19781,366979050,MarineTraffic.com,366979050,2014-07-24,WAG3999,Unspecified,USA,,JOETHOMPSON
19780,366979330,MarineTraffic.com,366979330,2014-07-24,WCW5595,Tug,USA,8817887,KEEGAN FOSS
19779,366979350,MarineTraffic.com,366979350,2014-07-24,WCW8228,Tug,USA,9094896,DENISE LIND
19778,366980210,MarineTraffic.com,366980210,2014-07-24,WBF8157,Tug,USA,,CATHERINE QUIGG
19777,366980220,MarineTraffic.com,366980220,2014-07-24,WBG4515,Tug,USA,7939078,ALYSSA ANN
19776,366982320,MarineTraffic.com,366982320,2014-07-24,WDB9762,Tug,USA,8971877,MARSHALL FOSS
19775,366983440,MarineTraffic.com,366983440,2014-07-24,WDB9821,Other,USA,,JOYCE L VAN ENKEVORT
19774,366983830,MarineTraffic.com,366983830,2014-07-24,WDB9847,Passenger,USA,,PERALTA
19773,366984180,MarineTraffic.com,366984180,2014-07-24,WDB9866,Tug,USA,,AMERICAN BEAUTY
19772,366985270,MarineTraffic.com,366985270,2014-07-24,WCY6430,Passenger,USA,,HARBOR EMPEROR
19771,366986380,MarineTraffic.com,366986380,2014-07-24,WUV6842,Dredger,USA,,DREDGE OREGON
19770,366988190,MarineTraffic.com,366988190,2014-07-24,WDC2117,Tug,USA,,PRAIRIE DAWN
19769,366988930,MarineTraffic.com,366988930,2014-07-24,WDF8573,Passenger,USA,,MCNEIL
19768,366988940,MarineTraffic.com,366988940,2014-07-24,WCA5344,Passenger,USA,,NEIL HENLY
19767,366993250,MarineTraffic.com,366993250,2014-07-24,WUS6454,Tug,USA,,REDWOOD CITY
19766,366998830,MarineTraffic.com,366998830,2014-07-24,WDC2865,Tug,USA,,ROYAL MELBOURNE
19765,366999529,MarineTraffic.com,366999529,2014-07-24,NADT,Military Ops,USA,,CG BUCKTHORN
19764,366999840,MarineTraffic.com,366999840,2014-07-24,WDC2922,Tug,USA,,NORTON BAY
19763,366999980,MarineTraffic.com,366999980,2014-07-24,NRUS,SAR,USA,,CG BISCAYNE BAY
19762,367003160,MarineTraffic.com,367003160,2014-07-24,WDC3144,Unspecified,USA,,BLAKE.L.SETTOON
19761,367003250,MarineTraffic.com,367003250,2014-07-24,WDC3151,Tug,USA,,SARAH REED
19760,367012470,MarineTraffic.com,367012470,2014-07-24,WDC3684,Tug,USA,,AMY ELISE
19759,367014540,MarineTraffic.com,367014540,2014-07-24,WAI9846,Tug,USA,,EMERALD ISLAND
19758,367015250,MarineTraffic.com,367015250,2014-07-24,0WDA220,Unspecified,USA,,AMERICAN PATRIOT
19757,367039250,MarineTraffic.com,367039250,2014-07-24,WDC5313,Tug,USA,,BETSY L
19756,367047080,MarineTraffic.com,367047080,2014-07-24,WDC5829,Tug,USA,,THE CHIEF
19755,367047090,MarineTraffic.com,367047090,2014-07-24,WDC5830,Tug,USA,,HURRICANE
19754,367047120,MarineTraffic.com,367047120,2014-07-24,WDC5832,Tug,USA,,REBEL
19753,367047150,MarineTraffic.com,367047150,2014-07-24,WDC5835,Tug,USA,,CAPTAIN BOB
19752,367047160,MarineTraffic.com,367047160,2014-07-24,WDC5836,Tug,USA,,LEGEND
19751,367047170,MarineTraffic.com,367047170,2014-07-24,WDC5837,Tug,USA,,MAVERICK
19750,367047180,MarineTraffic.com,367047180,2014-07-24,WDC5838,Tug,USA,,SUNDIAL
19749,367047190,MarineTraffic.com,367047190,2014-07-24,WDC5839,Tug,USA,,CHALLENGER
19748,367047240,MarineTraffic.com,367047240,2014-07-24,WDC5842,Tug,USA,,DEFIANCE
19747,367047270,MarineTraffic.com,367047270,2014-07-24,WDC5845,Tug,USA,,LIBERTY
19746,367057570,MarineTraffic.com,367057570,2014-07-24,WDG7081,Articulated pusher tug,USA,7303877,PRESQUE ISLE
19745,367060830,MarineTraffic.com,367060830,2014-07-24,WDC6754,Tug,USA,,KANSAS CITY
19744,367063680,MarineTraffic.com,367063680,2014-07-24,WDC6944,Tug,USA,,RED BLUFF
19743,367082230,MarineTraffic.com,367082230,2014-07-24,WXY6216,Self discharging bulk carrier,USA,7502320,JOSEPH L.BLOCK
19742,367083650,MarineTraffic.com,367083650,2014-07-24,WDC8229,Fishing,USA,,HARVESTOR
19741,367084930,MarineTraffic.com,367084930,2014-07-24,WDC8307,Articulated pusher tug,USA,7433799,SAMUEL DE CHAMPLAIN
19740,367089610,MarineTraffic.com,367089610,2014-07-24,WDC8583,Passenger,USA,,STIKINE
19739,367114130,MarineTraffic.com,367114130,2014-07-24,WUU6186,Pilot Vessel,USA,,P/V KATMAI
19738,367119230,MarineTraffic.com,367119230,2014-07-24,WDD2742,Fishing,USA,,NORQUEST
19737,367121040,MarineTraffic.com,367121040,2014-07-24,WDD2879,Self discharging bulk carrier,USA,7634226,AMERICAN COURAGE
19736,367124390,MarineTraffic.com,367124390,2014-07-24,WDA8288,Pollution control vessel,USA,8978485,NRC COLUMBIA
19735,367132630,MarineTraffic.com,367132630,2014-07-24,WDE3568,Self discharging bulk carrier,USA,7329314,CALUMET
19734,367138830,MarineTraffic.com,367138830,2014-07-24,WDD3977,Tug,USA,,AUSTIN KRAUSE
